,Name,MMSI,IMO,Size,Loc / Dest,Received
0,DAIDO AMBITION,538009397,9908358,179 m,Tasman Sea MOMBASA,4 m
1,MSC MARIA LAURA,351634000,8616520,229 m,Red Sea MOMBASA,30 m
2,JOLLY COBALTO,247335700,9668960,240 m,Red Sea MOMBASA,7 d
3,SAGAR KANYA,370953000,9679139,197 m,Singapore Strait MOMBASA,11 d
4,AVALON,218554000,9327097,168 m,Singapore Strait MOMBASA,12 d
5,CP CHONGQING,538006814,9710517,199 m,Great Australian Bight MOMBASA,15 d
6,UNISON POWER,370416000,9579406,189 m,Singapore Strait MOMBASA,20 d
7,WESTERLAND,636092766,9240328,207 m,Gulf of Oman MOMBASA,27 d
8,NEW VICTORY,538007845,9403047,185 m,Gulf of Oman MOMBASA,2021-05-17 21:15
9,MARIE DELMAS,636019864,9220847,196 m,Gulf of Oman MOMBASA,2021-05-16 05:56
10,AFRICAN MACAW,311000537,9767431,180 m,Great Australian Bight MOMBASA,2021-05-13 15:14
11,STI SLOANE,538005387,9690808,256 m,Gulf of Oman MOMBASA,2021-05-09 22:19
12,GREAT FORTUNE,477948900,9738507,200 m,Red Sea MOMBASA,2021-05-07 17:15
13,TAXIDIARA,215622000,9331919,190 m,Red Sea MOMBASA,2021-04-22 17:29
14,STAR AQUARIUS,538006353,9715828,198 m,Gulf of Oman MOMBASA,2021-04-07 13:36
15,CREST SPARTAN 1,565076000,9568940,42 m,Gulf of Oman MOMBASA,2020-12-21 13:33
16,COMARCO SWIFT,677071300,8324206,36 m,Indian Ocean MOMBASA,2020-11-15 08:34
17,ANNITA,24071000,9282869,190 m,Singapore Strait MOMBASA,2020-10-16 05:14
18,BLUE DANANG,353475000,---,---,Singapore Strait MOMBASA,2020-08-17 14:46
19,ALPHA KIRAWIRA,511226000,9563897,---,Mozambique Channel MOMBASA,2020-05-06 12:06
20,COMARCO KESTREL,677019801,8730754,15 m,Mozambique Channel MOMBASA,2020-03-31 18:05
21,COMARCO OSPREY,677031500,7922776,31 m,MOMBASA,2020-02-19 19:51
22,NEWFOUNDLAND ALERT,634129000,8712441,38 m,Indian Ocean MOMBASA,2020-02-19 19:37
23,DIAMOND ACE NO1,440165170,---,---,Indian Ocean MOMBASA,2020-02-19 16:53
24,NEW CENTURY,538002085,9298272,228 m,Gulf of Oman MOMBASA,2019-07-06 01:48
25,EAST WIND II,377385000,9227211,109 m,Gulf of Oman MOMBASA,2019-06-18 06:05
26,ALDABRA,634125000,7827330,85 m,MOMBASA,2017-12-27 01:02
27,KOTA GEMAR,477279000,9252357,227 m,Malacca Strait MOMBASA,2017-09-15 14:24
28,ANNA,305695000,9126716,100 m,Indian Ocean MOMBASA,2017-09-10 12:52
29,GULER ONE,357745000,7924334,80 m,Indian Ocean MOMBASA,2017-08-04 02:22
30,CORVUS,249109000,9145889,190 m,Malacca Strait MOMBASA,2017-07-19 19:10
31,MV ALPHA PINA,511187000,7508790,---,Indian Ocean MOMBASA,2017-04-23 07:29
32,E.R.COPENHAGEN,636092518,9194878,196 m,MOMBASA,2016-05-08 12:13
33,PACIFIC TRUST,636026890,9502726,181 m,Singapore Strait MOMBASA,2015-12-15 05:24
34,ALPHA KIRAWIRA,667172000,9563897,79 m,MOMBASA,2015-07-19 14:41
35,""" SVS FROBISHER """,511011055,7394101,62 m,Mozambique Channel MOMBASA,2015-07-19 14:28
36,SI HANG YUN SHA 1,374408000,9774111,85 m,South China Sea MOMBASA,2015-06-20 06:24
